2026-08-11 22:49:51 | verdict=wait | score=-1.99/8 | macro=-20% | goldTrend=bearish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bullish | nearSupport=False | nearResistance=False | cotZ=1.854
2026-08-11 23:47:43 | verdict=wait | score=-1.99/8 | macro=-20% | goldTrend=bearish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bullish | nearSupport=False | nearResistance=False | cotZ=1.854
2026-08-12 02:20:05 | verdict=wait | score=-1.6/8 | macro=-60% | goldTrend=bullish | h4Trend=bullish | jpyTrend=bullish | us10yTrend=bullish | nearSupport=False | nearResistance=True | cotZ=1.854
2026-08-12 04:23:12 | verdict=wait | score=-0.6/8 | macro=-60% | goldTrend=bullish | h4Trend=bullish | jpyTrend=bullish | us10yTrend=bullish | nearSupport=False | nearResistance=False | cotZ=1.854
2026-08-12 05:58:09 | verdict=sell | score=-2.6/8 | macro=-60% | goldTrend=neutral | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bullish | nearSupport=False | nearResistance=False | cotZ=1.854
2026-08-12 07:44:45 | verdict=wait | score=-0.11/8 | macro=-60% | goldTrend=bullish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bullish | nearSupport=False | nearResistance=False | cotZ=1.854
2026-08-12 08:54:31 | verdict=wait | score=-0.11/8 | macro=-60% | goldTrend=bullish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bullish | nearSupport=False | nearResistance=False | cotZ=1.854
2026-08-12 10:11:41 | verdict=wait | score=-0.61/8 | macro=-60% | goldTrend=bullish | h4Trend=bullish | jpyTrend=bearish | us10yTrend=bullish | nearSupport=False | nearResistance=True | cotZ=1.854
2026-08-12 11:12:23 | verdict=wait | score=-0.61/8 | macro=-60% | goldTrend=bullish | h4Trend=bullish | jpyTrend=bearish | us10yTrend=bullish | nearSupport=False | nearResistance=True | cotZ=1.854
2026-08-12 13:49:31 | verdict=wait | score=0.99/8 | macro=-20% | goldTrend=bullish | h4Trend=bullish | jpyTrend=bearish | us10yTrend=bearish | nearSupport=False | nearResistance=True | cotZ=1.854
2026-08-12 15:02:08 | verdict=wait | score=0.49/8 | macro=-20% | goldTrend=bullish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bearish | nearSupport=False | nearResistance=True | cotZ=1.854
2026-08-12 16:10:43 | verdict=wait | score=1.49/8 | macro=-20% | goldTrend=bullish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bearish | nearSupport=False | nearResistance=False | cotZ=1.854
2026-08-12 17:14:41 | verdict=sell | score=-2.61/8 | macro=-60% | goldTrend=neutral | h4Trend=bullish | jpyTrend=bullish | us10yTrend=neutral | nearSupport=False | nearResistance=False | cotZ=1.854
2026-08-12 18:10:46 | verdict=sell | score=-2.61/8 | macro=-60% | goldTrend=bearish | h4Trend=bullish | jpyTrend=bullish | us10yTrend=neutral | nearSupport=False | nearResistance=False | cotZ=1.854
2026-08-12 19:28:16 | verdict=wait | score=-1.61/8 | macro=-60% | goldTrend=bullish | h4Trend=bullish | jpyTrend=bullish | us10yTrend=bullish | nearSupport=False | nearResistance=True | cotZ=1.854
2026-08-12 20:18:36 | verdict=sell | score=-4.11/8 | macro=-60% | goldTrend=neutral | h4Trend=bullish | jpyTrend=bullish | us10yTrend=bullish | nearSupport=False | nearResistance=True | cotZ=1.854
2026-08-12 21:22:07 | verdict=sell | score=-4.11/8 | macro=-60% | goldTrend=bearish | h4Trend=bullish | jpyTrend=bullish | us10yTrend=bullish | nearSupport=False | nearResistance=True | cotZ=1.854
2026-08-12 22:12:10 | verdict=sell | score=-3.11/8 | macro=-60% | goldTrend=bearish | h4Trend=bullish | jpyTrend=bullish | us10yTrend=bullish | nearSupport=False | nearResistance=False | cotZ=1.854
2026-08-12 23:04:15 | verdict=sell | score=-3.11/8 | macro=-60% | goldTrend=bearish | h4Trend=bullish | jpyTrend=bullish | us10yTrend=bullish | nearSupport=False | nearResistance=False | cotZ=1.854
2026-08-12 23:59:27 | verdict=sell | score=-2.61/8 | macro=-60% | goldTrend=bearish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bullish | nearSupport=False | nearResistance=False | cotZ=1.854
2026-08-13 02:39:40 | verdict=sell | score=-2.11/8 | macro=-60% | goldTrend=neutral | h4Trend=bullish | jpyTrend=bullish | us10yTrend=bullish | nearSupport=True | nearResistance=False | cotZ=1.854
2026-08-13 04:31:01 | verdict=wait | score=-0.6/8 | macro=-60% | goldTrend=bullish | h4Trend=bullish | jpyTrend=bullish | us10yTrend=bullish | nearSupport=True | nearResistance=True | cotZ=1.854
2026-08-13 06:06:50 | verdict=wait | score=-1.6/8 | macro=-60% | goldTrend=bearish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bullish | nearSupport=True | nearResistance=False | cotZ=1.854
2026-08-13 07:55:21 | verdict=sell | score=-3.6/8 | macro=-60% | goldTrend=bearish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bullish | nearSupport=False | nearResistance=True | cotZ=1.854
2026-08-13 09:16:56 | verdict=sell | score=-2.59/8 | macro=-60% | goldTrend=bearish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bullish | nearSupport=True | nearResistance=True | cotZ=1.854
2026-08-13 10:37:32 | verdict=sell | score=-2.6/8 | macro=-60% | goldTrend=bearish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bullish | nearSupport=False | nearResistance=False | cotZ=1.854
2026-08-13 11:31:17 | verdict=sell | score=-2.1/8 | macro=-60% | goldTrend=neutral | h4Trend=bullish | jpyTrend=bearish | us10yTrend=bullish | nearSupport=False | nearResistance=False | cotZ=1.854
2026-08-13 12:34:14 | verdict=sell | score=-2.6/8 | macro=-60% | goldTrend=bearish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bullish | nearSupport=False | nearResistance=False | cotZ=1.854
2026-08-13 14:08:54 | verdict=wait | score=-0.49/8 | macro=-20% | goldTrend=bearish | h4Trend=bullish | jpyTrend=bearish | us10yTrend=bearish | nearSupport=True | nearResistance=True | cotZ=1.854
2026-08-13 15:16:35 | verdict=wait | score=-1.39/8 | macro=20% | goldTrend=bearish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bearish | nearSupport=False | nearResistance=True | cotZ=1.854
2026-08-13 16:26:10 | verdict=wait | score=0.02/8 | macro=-20% | goldTrend=bearish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bearish | nearSupport=True | nearResistance=False | cotZ=1.854
2026-08-13 17:31:22 | verdict=wait | score=-0.49/8 | macro=-20% | goldTrend=bearish | h4Trend=bullish | jpyTrend=bullish | us10yTrend=bearish | nearSupport=True | nearResistance=False | cotZ=1.854
